生产序号,车型,白车身,整车物料号,生产数量
1,M40T8,921001264AD,M6895J5XOLX3348,3.0
2,M40T8,921001264AD,M6663H5XOLX1995,3.0
3,M40T8,921001264AD,M6718G5ZOLX6547,3.0
4,M40T8,921001264AD,M6764G5WOLX7061,3.0
5,M40T8,921001264AD,M6937G5ZOLX7885,3.0
6,M40T8,921001264AD,M6989J5ZOLX4732,3.0
7,M40T8,921001264AD,M6811J5WOLX4170,4.0
8,M40T8,921001264AD,M6898J5YOLX2489,6.0
9,M40T8,921001264AD,M6571G5ZOLX6847,8.0
10,M40T8,921001264AD,M6736J5WOLX2655,24.0
11,M40T8,921001264AD,M6867G5XOLX6212,29.0
12,M40T8,921001264AD,M6977G5XOLX9762,29.0
13,M40T8,921001264AD,M6772G5ZOLX7490,30.0
14,M40T8,921001264AD,M6772G5ZOLX7490,30.0
15,M40T8,921001264AD,M6772G5ZOLX7490,18.0
16,M40T8,921001264AD,M6736J5WOLX2655,30.0
17,M40T8,921001264AD,M6736J5WOLX2655,30.0
18,M40T8,921001264AD,M6736J5WOLX2655,9.0
19,M40T3,921001128AE,M6587G5ZOLX6367,3.0
20,M40T3,921001128AE,M6644J5YOLX2390,3.0
21,M40T3,921001128AE,M6753K5XOLX6813,3.0
22,M40T3,921001128AE,M6786J5XOLX4705,3.0
23,M40T3,921001128AE,M6819J5YOLX9743,3.0
24,M40T3,921001128AE,M6861H5YOLX9059,3.0
25,M40T3,921001128AE,M6867J5WOLX8916,3.0
26,M40T3,921001128AE,M6905J5WOLX6223,3.0
27,M40T3,921001128AE,M6962J5ZOLX8751,3.0
28,M40T3,921001128AE,M6506H5WOLX8887,4.0
29,M40T3,921001128AE,M6519J5WOLX1674,4.0
30,M40T3,921001128AE,M6721H5WOLX3500,4.0
31,M40T3,921001128AE,M6682K5WOLX5675,4.0
32,M40T3,921001128AE,M6855J5WOLX3367,4.0
33,M40T3,921001128AE,M6869K5WOLX5087,4.0
34,M40T3,921001128AE,M6955K5WOLX6221,4.0
35,M40T3,921001128AE,M6992K5ZOLX5929,4.0
36,M40T3,921001128AE,M6662G5YOLX9146,1.0
37,M40T3,921001128AE,M6939G5WOLX5258,6.0
38,M40T3,921001128AE,M6793H5YOLX1097,5.0
39,M40T3,921001128AE,M6731H5WOLX4682,22.0
40,M40T3,921001128AE,M6662G5YOLX9146,4.0
41,M40T3,921001128AE,M6956G5XOLX3809,30.0
42,M40T3,921001128AE,M6956G5XOLX3809,30.0
43,M40T3,921001128AE,M6956G5XOLX3809,27.0
44,M40T4,921001058AB,M6601K5YOLX1942,3.0
45,M40T4,921001058AB,M6739K5XOLX5617,3.0
46,M40T4,921001058AB,M6989G5XOLX8416,4.0
47,M40T4,921001058AB,M6915K5XOLX8262,6.0
48,M40T1,921001144AB,M6672G5XOLX9477,3.0
49,M40T1,921001144AB,M6622H5YOLX6937,4.0
50,M40T1,921001144AB,M6945H5XOLX3664,4.0
51,M40T1,921001144AB,M6590G5XOLX5274,6.0
52,M40T1,921001053AB,M6680H5XOLX6296,3.0
53,M40T1,921001053AB,M6922G5XOLX5786,3.0
54,M40T1,921001053AB,M6969K5ZOLX5322,3.0
55,M40T1,921001053AB,M6562G5YOLX8967,4.0
56,M40T1,921001053AB,M6531H5ZOLX5505,5.0
