车型,白车身,整车物料号,计划上线日期,计划产量
M65T7,921001824AC,M6573J5XOLX5040,2026-04-04,16
M65T7,921001003AC,M6890H5WOLX6310,2026-04-04,9
M65T5,921001323AA,M6644H5YOLX4335,2026-04-04,15
M60T4,921001419AB,M6889G5ZOLX3725,2026-04-04,14
M60T4,921001180AE,M6708J5ZOLX7812,2026-04-04,13
M60T4,921001063AB,M6667H5ZOLX6355,2026-04-04,18
M55T7,921001698AB,M6826J5ZOLX5183,2026-04-04,8
M55T7,921001281AA,M6821G5WOLX6061,2026-04-04,15
M55T7,921001281AA,M6567J5YOLX3695,2026-04-04,8
M55T5,921001737AD,M6805J5WOLX4180,2026-04-04,10
M55T5,921001309AA,M6940K5YOLX1986,2026-04-04,16
M55T5,921001309AA,M6564J5WOLX1893,2026-04-04,14
M50T4,921001618AC,M6860G5WOLX4733,2026-04-04,10
M50T4,921001618AC,M6732J5XOLX7065,2026-04-04,10
M50T4,921001618AC,M6540J5YOLX4150,2026-04-04,11
M50T2,921001355AE,M6896K5ZOLX8136,2026-04-04,11
M45T5,921001227AB,M6973H5YOLX8066,2026-04-04,12
M45T5,921001227AB,M6559J5XOLX5349,2026-04-04,17
M36T6,921001745AC,M6729H5ZOLX4006,2026-04-04,11
M36T6,921001007AA,M6901K5ZOLX4119,2026-04-04,20
M36T6,921001007AA,M6617G5WOLX6413,2026-04-04,7
M32T2,921001781AB,M6765K5YOLX3973,2026-04-04,5
M32T2,921001778AA,M6782G5ZOLX2527,2026-04-04,8
M65T7,921001824AC,M6573J5XOLX5040,2026-04-03,7
M65T7,921001003AC,M6890H5WOLX5889,2026-04-03,10
M65T5,921001323AA,M6644H5YOLX4335,2026-04-03,11
M60T4,921001180AE,M6708J5ZOLX7812,2026-04-03,9
M60T4,921001063AB,M6667H5ZOLX6355,2026-04-03,16
M55T7,921001698AB,M6826J5ZOLX5183,2026-04-03,17
M55T7,921001281AA,M6667K5XOLX4289,2026-04-03,7
M55T7,921001281AA,M6567J5YOLX3695,2026-04-03,17
M55T5,921001309AA,M6994G5YOLX8827,2026-04-03,18
M55T5,921001309AA,M6564J5WOLX1893,2026-04-03,8
M50T4,921001618AC,M6732J5XOLX7065,2026-04-03,12
M50T2,921001355AE,M6896K5ZOLX8136,2026-04-03,14
M45T5,921001737AC,M6726K5XOLX9375,2026-04-03,18
M45T5,921001227AB,M6973H5YOLX8066,2026-04-03,9
M45T5,921001227AB,M6559J5XOLX5349,2026-04-03,10
M36T6,921001007AA,M6901K5ZOLX4119,2026-04-03,16
M36T6,921001007AA,M6617G5WOLX6413,2026-04-03,14
M32T2,921001778AA,M6782G5ZOLX2527,2026-04-03,10
M65T7,921001824AC,M6573J5XOLX5040,2026-04-02,17
M65T7,921001003AC,M6750G5WOLX6947,2026-04-02,14
M65T5,921001703AC,M6824K5YOLX1722,2026-04-02,15
M65T5,921001703AC,M6750J5WOLX2512,2026-04-02,18
M65T5,921001703AC,M6557G5XOLX9938,2026-04-02,10
M65T5,921001323AA,M6644H5YOLX4335,2026-04-02,6
M60T4,921001956AE,M6920G5YOLX5891,2026-04-02,8
M60T4,921001956AE,M6551K5WOLX3361,2026-04-02,12
M60T4,921001180AE,M6708J5ZOLX7812,2026-04-02,11
M60T4,921001063AB,M6667H5ZOLX6355,2026-04-02,9
M60T4,921001063AB,M6503J5YOLX7389,2026-04-02,273
M55T7,921001698AB,M6826J5ZOLX5183,2026-04-02,11
M55T7,921001281AA,M6567J5YOLX3695,2026-04-02,10
M55T5,921001309AA,M6564J5WOLX1893,2026-04-02,14
M50T4,921001618AC,M6732J5XOLX7065,2026-04-02,7
M50T4,921001604AD,M6990J5WOLX2519,2026-04-02,11
M50T2,921001355AE,M6896K5ZOLX8136,2026-04-02,12
M45T5,921001737AC,M6607K5YOLX8618,2026-04-02,12
M45T5,921001227AB,M6973H5YOLX8066,2026-04-02,12
M45T5,921001227AB,M6559J5XOLX5349,2026-04-02,14
M45T5,921001227AB,M6535J5YOLX3041,2026-04-02,11
M36T6,921001007AA,M6901K5ZOLX4119,2026-04-02,6
M36T6,921001007AA,M6617G5WOLX6413,2026-04-02,11
M36T6,921001007AA,M6548G5ZOLX6804,2026-04-02,12
M32T2,921001778AA,M6782G5ZOLX2527,2026-04-02,10
M65T7,921001824AC,M6573J5XOLX5040,2026-04-01,12
M65T5,921001703AC,M6501J5XOLX5291,2026-04-01,11
M65T5,921001323AA,M6644H5YOLX4335,2026-04-01,11
M60T4,921001180AE,M6708J5ZOLX7812,2026-04-01,10
M60T4,921001180AE,M6568K5YOLX8251,2026-04-01,8
M60T4,921001063AB,M6667H5ZOLX6355,2026-04-01,11
